heuristica,escala,trial,host,tempo_uso_s
MOHEFT,512,1,DGX_System,0.7108
MOHEFT,512,1,GPU7,1.1527
MOHEFT,512,1,GPU6,1.4080
MOHEFT,512,1,GPU5,1.3267
MOHEFT,512,1,GPU4,1.4081
MOHEFT,512,1,GPU3,1.4025
MOHEFT,512,1,GPU2,1.3959
MOHEFT,512,1,GPU1,1.4336
MOHEFT,512,1,GPU8,1.2864
MOHEFT,512,2,DGX_System,1.3892
MOHEFT,512,2,GPU7,1.1724
MOHEFT,512,2,GPU6,1.0063
MOHEFT,512,2,GPU5,1.2386
MOHEFT,512,2,GPU4,1.5978
MOHEFT,512,2,GPU3,1.4906
MOHEFT,512,2,GPU2,1.6047
MOHEFT,512,2,GPU1,1.5988
MOHEFT,512,2,GPU8,1.1220
MOHEFT,512,3,DGX_System,1.3010
MOHEFT,512,3,GPU7,1.5751
MOHEFT,512,3,GPU6,1.5527
MOHEFT,512,3,GPU5,1.5622
MOHEFT,512,3,GPU4,1.5860
MOHEFT,512,3,GPU3,1.6300
MOHEFT,512,3,GPU2,1.5497
MOHEFT,512,3,GPU1,1.6642
MOHEFT,512,3,GPU8,1.5379
MOHEFT,512,4,DGX_System,1.3225
MOHEFT,512,4,GPU7,1.4888
MOHEFT,512,4,GPU6,1.5418
MOHEFT,512,4,GPU5,1.1805
MOHEFT,512,4,GPU4,1.4200
MOHEFT,512,4,GPU3,1.4663
MOHEFT,512,4,GPU2,1.5379
MOHEFT,512,4,GPU1,1.5675
MOHEFT,512,4,GPU8,1.2338
MOHEFT,512,5,DGX_System,1.2745
MOHEFT,512,5,GPU7,1.3114
MOHEFT,512,5,GPU6,1.0279
MOHEFT,512,5,GPU5,1.1087
MOHEFT,512,5,GPU4,1.5949
MOHEFT,512,5,GPU3,1.5119
MOHEFT,512,5,GPU2,1.5130
MOHEFT,512,5,GPU1,1.5440
MOHEFT,512,5,GPU8,1.4942
MOHEFT,512,6,DGX_System,1.2429
MOHEFT,512,6,GPU7,1.3421
MOHEFT,512,6,GPU6,1.1351
MOHEFT,512,6,GPU5,1.4209
MOHEFT,512,6,GPU4,1.4205
MOHEFT,512,6,GPU3,1.2889
MOHEFT,512,6,GPU2,1.4101
MOHEFT,512,6,GPU1,1.3768
MOHEFT,512,6,GPU8,1.3930
MOHEFT,512,7,DGX_System,1.2488
MOHEFT,512,7,GPU7,1.2994
MOHEFT,512,7,GPU6,1.3810
MOHEFT,512,7,GPU5,1.4347
MOHEFT,512,7,GPU4,1.4097
MOHEFT,512,7,GPU3,1.3317
MOHEFT,512,7,GPU2,1.4650
MOHEFT,512,7,GPU1,1.4524
MOHEFT,512,7,GPU8,1.3612
MOHEFT,512,8,DGX_System,1.0542
MOHEFT,512,8,GPU7,1.4059
MOHEFT,512,8,GPU6,1.3867
MOHEFT,512,8,GPU5,1.3710
MOHEFT,512,8,GPU4,1.2251
MOHEFT,512,8,GPU3,1.3300
MOHEFT,512,8,GPU2,1.3291
MOHEFT,512,8,GPU1,1.4170
MOHEFT,512,8,GPU8,1.3822
MOHEFT,512,9,DGX_System,1.2946
MOHEFT,512,9,GPU7,1.1775
MOHEFT,512,9,GPU6,0.8765
MOHEFT,512,9,GPU5,1.0586
MOHEFT,512,9,GPU4,1.3664
MOHEFT,512,9,GPU3,1.2910
MOHEFT,512,9,GPU2,1.3817
MOHEFT,512,9,GPU1,1.2569
