heuristica,escala,trial,workflow_file,makespan,energia_kwh,carbono_gco2,utilizacao_media
HEFT,256,1,wf_256_tasks_8_cores_trial01.json,979.0389,0.547,291.2,42.5
HEFT,256,2,wf_256_tasks_8_cores_trial02.json,911.3175,0.547,250.0,42.5
HEFT,256,3,wf_256_tasks_8_cores_trial03.json,995.1406,0.586,257.1,42.5
HEFT,256,4,wf_256_tasks_8_cores_trial04.json,1088.4971,0.467,220.8,42.5
HEFT,256,5,wf_256_tasks_8_cores_trial05.json,901.0907,0.477,242.3,42.5
HEFT,256,6,wf_256_tasks_8_cores_trial06.json,901.0925,0.542,258.2,42.5
HEFT,256,7,wf_256_tasks_8_cores_trial07.json,1094.4891,0.517,227.5,42.5
HEFT,256,8,wf_256_tasks_8_cores_trial08.json,1007.9117,0.59,264.6,42.5
HEFT,256,9,wf_256_tasks_8_cores_trial09.json,875.9934,0.522,240.9,42.5
HEFT,256,10,wf_256_tasks_8_cores_trial10.json,983.9285,0.495,248.4,42.5
HEFT,512,1,wf_512_tasks_8_cores_trial01.json,2355.6853,1.435,649.3,42.5
HEFT,512,2,wf_512_tasks_8_cores_trial02.json,2609.4546,1.393,617.2,42.5
HEFT,512,3,wf_512_tasks_8_cores_trial03.json,2416.5127,1.371,604.0,42.5
HEFT,512,4,wf_512_tasks_8_cores_trial04.json,2308.5294,1.357,662.4,42.5
HEFT,512,5,wf_512_tasks_8_cores_trial05.json,2502.9688,1.269,681.4,42.5
HEFT,512,6,wf_512_tasks_8_cores_trial06.json,2291.6597,1.326,676.8,42.5
HEFT,512,7,wf_512_tasks_8_cores_trial07.json,2439.5073,1.345,596.7,42.5
HEFT,512,8,wf_512_tasks_8_cores_trial08.json,2215.2568,1.459,620.7,42.5
HEFT,512,9,wf_512_tasks_8_cores_trial09.json,2280.5593,1.406,649.7,42.5
HEFT,512,10,wf_512_tasks_8_cores_trial10.json,2438.2661,1.249,678.8,42.5
HEFT,1024,1,wf_1024_tasks_8_cores_trial01.json,4948.5286,2.941,1323.2,42.5
HEFT,1024,2,wf_1024_tasks_8_cores_trial02.json,5064.268,3.11,1395.2,42.5
HEFT,1024,3,wf_1024_tasks_8_cores_trial03.json,4701.2255,2.884,1535.0,42.5
HEFT,1024,4,wf_1024_tasks_8_cores_trial04.json,4665.7872,3.114,1286.0,42.5
HEFT,1024,5,wf_1024_tasks_8_cores_trial05.json,5457.8738,2.512,1249.8,42.5
HEFT,1024,6,wf_1024_tasks_8_cores_trial06.json,5672.272,3.007,1288.1,42.5
HEFT,1024,7,wf_1024_tasks_8_cores_trial07.json,5109.0822,2.901,1464.8,42.5
HEFT,1024,8,wf_1024_tasks_8_cores_trial08.json,5533.192,2.846,1391.7,42.5
HEFT,1024,9,wf_1024_tasks_8_cores_trial09.json,5280.0782,2.902,1284.6,42.5
HEFT,1024,10,wf_1024_tasks_8_cores_trial10.json,4883.0925,2.603,1414.6,42.5
HEFT,2048,1,wf_2048_tasks_8_cores_trial01.json,10968.2741,5.734,2699.3,42.5
HEFT,2048,2,wf_2048_tasks_8_cores_trial02.json,11433.4665,5.957,2844.2,42.5
HEFT,2048,3,wf_2048_tasks_8_cores_trial03.json,10541.7444,5.974,2850.9,42.5
HEFT,2048,4,wf_2048_tasks_8_cores_trial04.json,10741.5726,5.871,3034.9,42.5
HEFT,2048,5,wf_2048_tasks_8_cores_trial05.json,10707.1751,6.015,2831.5,42.5
HEFT,2048,6,wf_2048_tasks_8_cores_trial06.json,10135.32,6.142,2869.3,42.5
HEFT,2048,7,wf_2048_tasks_8_cores_trial07.json,11074.5116,6.473,2843.6,42.5
HEFT,2048,8,wf_2048_tasks_8_cores_trial08.json,11055.796,6.09,2756.7,42.5
HEFT,2048,9,wf_2048_tasks_8_cores_trial09.json,10919.189,6.109,2933.8,42.5
HEFT,2048,10,wf_2048_tasks_8_cores_trial10.json,10791.2507,6.035,2903.8,42.5
MOHEFT,256,1,wf_256_tasks_8_cores_trial01.json,707.9088,0.342,184.6,42.5
MOHEFT,256,2,wf_256_tasks_8_cores_trial02.json,627.1243,0.392,200.8,42.5
MOHEFT,256,3,wf_256_tasks_8_cores_trial03.json,736.9727,0.357,157.1,42.5
MOHEFT,256,4,wf_256_tasks_8_cores_trial04.json,603.7281,0.405,183.9,42.5
MOHEFT,256,5,wf_256_tasks_8_cores_trial05.json,698.2087,0.362,185.1,42.5
MOHEFT,256,6,wf_256_tasks_8_cores_trial06.json,774.3933,0.438,192.9,42.5
MOHEFT,256,7,wf_256_tasks_8_cores_trial07.json,623.2691,0.366,162.6,42.5
MOHEFT,256,8,wf_256_tasks_8_cores_trial08.json,643.424,0.38,161.4,42.5
